sediment_thick,gwt,predom,vs30,dem,pga,geo_form,near_dis,near_dis_norm,near_dist,LIQ
5,6,7,2,3,8,7,3.91,0.41,9,0
1,3,5,2,4,6,4,8,0.84,12,0
2,5,6,2,3,8,4,7.07,0.74,12,0
4,7,5,2,3,7,4,6.14,0.65,11,0
5,8,7,2,3,7,7,5.23,0.55,11,0
3,6,3,2,2,7,7,4.36,0.46,10,0
1,5,2,2,3,7,4,8.39,0.88,12,0
2,6,1,3,4,4,4,7.49,0.79,12,0
3,7,3,2,3,8,2,6.57,0.69,11,0
3,8,1,3,4,4,2,5.6,0.59,11,0
1,7,1,3,4,4,2,4.63,0.49,10,0
1,7,1,3,5,4,2,8.44,0.89,12,0
1,7,1,3,6,4,2,7.46,0.79,12,0
1,8,1,3,5,4,2,6.48,0.68,11,0
1,9,1,3,4,4,2,5.5,0.58,11,0
1,9,2,3,3,7,5,4.52,0.48,10,0
1,8,1,3,4,4,2,7.45,0.78,12,0
1,9,1,3,4,4,2,6.46,0.68,11,0
1,10,2,3,3,7,5,5.48,0.58,11,0
1,10,2,3,3,6,6,4.5,0.47,10,0
1,8,1,3,2,3,2,7.56,0.8,12,0
1,9,1,3,4,3,2,6.58,0.69,11,0
1,10,1,3,5,3,1,5.59,0.59,11,0
1,10,1,3,5,3,3,4.61,0.49,10,0
1,9,1,3,7,3,1,5.55,0.58,11,0
1,9,1,3,6,3,1,4.56,0.48,10,0
1,4,1,3,7,5,6,0.88,0.09,4,0
1,4,1,3,5,5,6,0.14,0.02,1,0
1,4,1,3,7,5,6,0.84,0.09,4,0
1,4,1,3,6,5,6,1.59,0.17,6,0
1,3,1,3,7,5,3,1.31,0.14,5,0
1,3,1,3,4,4,6,2.58,0.27,8,0
1,3,1,3,4,4,6,2.41,0.25,7,0
1,3,1,3,6,4,3,2.64,0.28,8,0
1,4,1,3,6,4,3,3.83,0.4,9,0
1,3,1,3,4,4,6,2.99,0.31,8,0
1,2,1,3,3,4,6,2.97,0.31,8,0
1,3,1,3,5,4,6,3.09,0.33,8,0
1,3,1,3,4,4,6,3.49,0.37,9,0
1,4,1,3,3,3,6,4.1,0.43,9,0
2,2,1,3,3,4,6,1.88,0.2,6,0
2,2,6,2,2,7,7,1.86,0.2,6,0
2,2,6,3,3,6,7,2.04,0.22,7,0
2,3,5,3,2,6,7,2.62,0.28,8,0
2,4,3,3,3,7,7,3.38,0.36,9,0
4,1,6,1,2,8,7,0.79,0.08,4,1
4,2,7,2,2,6,7,0.76,0.08,4,1
4,3,7,3,2,6,7,1.14,0.12,5,1
4,3,6,3,2,6,7,1.99,0.21,6,1
4,4,5,3,2,6,7,2.82,0.3,8,0
5,3,7,2,2,5,7,0,0,1,1
5,3,8,2,2,5,7,0.09,0.01,1,1
4,3,7,2,2,5,7,0.56,0.06,3,1
5,4,7,3,2,6,7,1.48,0.16,5,1
5,4,6,3,2,6,13,2.45,0.26,7,1
7,4,8,1,2,5,7,1.09,0.11,5,1
6,4,8,2,2,5,7,0.79,0.08,4,1
5,4,7,2,2,5,7,0.8,0.08,4,1
6,4,6,3,2,4,7,1.59,0.17,6,1
6,4,5,2,2,6,7,2.52,0.27,8,1
7,4,8,2,3,5,13,2.12,0.22,7,1
6,4,8,3,3,4,13,1.82,0.19,6,1
5,4,8,2,2,4,7,1.82,0.19,6,1
5,4,7,2,2,4,7,2.28,0.24,7,0
6,5,6,3,3,5,13,2.82,0.3,8,0
6,5,7,2,3,4,13,1.5,0.16,6,0
4,5,7,3,3,5,13,2.28,0.24,7,1
3,5,4,3,3,3,7,2.19,0.23,7,0
2,5,4,3,3,5,13,1.86,0.2,6,0
2,5,4,3,3,5,13,1.71,0.18,6,0
3,5,1,3,3,2,8,0.82,0.09,4,0
1,5,2,2,3,6,8,1.35,0.14,5,0
1,5,2,3,4,5,8,1.21,0.13,5,0
